City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Mahebourg,MU,68.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
241,Nemuro,JP,65.17,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
243,Alyangula,AU,79.68,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
244,Campo Alegre,BR,67.28,scattered clouds,-9.7819,-36.3508,vilsfarless
247,Ternate,ID,83.82,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
249,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
251,Souillac,MU,68.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
256,Les Cayes,HT,79.11,few clouds,18.2,-73.75,Villa Orphee
258,Morondava,MG,66.4,clear sky,-20.2833,44.2833,La Case Bambou
259,Saint-Joseph,RE,64.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
260,Touros,BR,74.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
261,Ampanihy,MG,62.31,overcast clouds,-24.7,44.75,Angora Hotel
262,Gurupi,BR,73.04,clear sky,-11.7292,-49.0686,Via Norte Hotel
265,Altay,CN,80.38,scattered clouds,47.8667,88.1167,Jinqiao Hotel
266,Lasa,IT,61.36,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
267,Borovskoy,KZ,68.07,overcast clouds,53.8,64.15,Аренда жилья/Баня
268,Progreso,MX,82.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
269,Tezu,IN,84.9,scattered clouds,27.9167,96.1667,Circuit House
272,Ucluelet,CA,72.95,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
273,Melito Di Porto Salvo,IT,79.54,clear sky,37.9222,15.7714,B&B Nereidi
274,Camana,PE,60.21,overcast clouds,-16.6228,-72.7111,Hostal Morales
275,Vao,NC,71.15,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
278,Darhan,MN,69.37,overcast clouds,49.4867,105.9228,Buudai Hotel
280,Belmonte,BR,66.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
281,Kapuskasing,CA,69.8,broken clouds,49.4169,-82.4331,Park Inn Motel
282,Qiqihar,CN,83.26,overcast clouds,47.3408,123.9672,Ji Hotel Qiqihar Bu Kui Street
283,Bonito,BR,67.62,clear sky,-21.1211,-56.4819,Marruá Hotel
284,Naze,JP,77.86,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
