City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Batemans Bay,AU,-35.7167,150.1833,59.92,51,79,12.37,broken clouds
233,Arraial Do Cabo,BR,-22.9661,-42.0278,68.76,71,0,19.53,clear sky
234,Saint-Pierre,RE,-21.3393,55.4781,65.88,55,0,9.22,clear sky
235,Menongue,AO,-14.6585,17.691,42.12,33,8,3.22,clear sky
236,Rawson,AR,-43.3002,-65.1023,45.66,43,30,9.37,scattered clouds
237,Dawei,MM,14.0833,98.2,77.95,95,100,10.09,light rain
238,Rognan,NO,67.0953,15.3878,51.94,95,100,2.93,overcast clouds
239,Imbituba,BR,-28.24,-48.6703,62.49,79,0,11.21,clear sky
240,Mahebourg,MU,-20.4081,57.7,68.25,73,57,10.87,broken clouds
241,Nemuro,JP,43.3236,145.575,65.17,90,77,13.22,broken clouds
242,Mount Gambier,AU,-37.8333,140.7667,52.57,70,29,14.56,light rain
243,Alyangula,AU,-13.8483,136.4192,79.68,65,1,4.29,clear sky
244,Campo Alegre,BR,-9.7819,-36.3508,67.28,95,33,1.99,scattered clouds
245,Komsomolskiy,UZ,40.4272,71.7189,86.72,30,0,0.0,clear sky
246,Shubarshi,KZ,48.5872,57.1869,72.07,69,97,8.23,overcast clouds
247,Ternate,ID,0.8,127.4,83.82,73,100,8.3,overcast clouds
248,Codrington,AU,-38.2667,141.9667,52.61,71,36,16.53,scattered clouds
249,Mao,ES,39.8885,4.2658,79.36,78,0,14.97,clear sky
250,Aranos,NA,-24.1333,19.1167,36.52,29,0,10.07,clear sky
251,Souillac,MU,-20.5167,57.5167,68.36,79,51,8.79,broken clouds
252,Bac Lieu,VN,9.285,105.7244,87.15,67,99,13.85,overcast clouds
253,Kamenskiy,RU,50.8855,45.488,63.36,61,0,6.24,clear sky
254,Husavik,IS,66.0449,-17.3389,57.11,80,82,8.75,broken clouds
255,Umm Kaddadah,SD,13.6017,26.6876,83.44,54,99,8.93,overcast clouds
256,Les Cayes,HT,18.2,-73.75,79.11,77,19,2.82,few clouds
257,Narsaq,GL,60.9167,-46.05,48.42,75,52,1.68,broken clouds
258,Morondava,MG,-20.2833,44.2833,66.4,64,5,19.24,clear sky
259,Saint-Joseph,RE,-21.3667,55.6167,64.78,67,18,7.07,few clouds
260,Touros,BR,-5.1989,-35.4608,74.3,83,20,15.48,few clouds
261,Ampanihy,MG,-24.7,44.75,62.31,53,100,8.14,overcast clouds
262,Gurupi,BR,-11.7292,-49.0686,73.04,45,2,4.72,clear sky
263,Gamba,GA,-2.65,10.0,70.07,83,77,1.59,broken clouds
264,Bilma,NE,18.6853,12.9164,86.95,47,9,13.2,clear sky
265,Altay,CN,47.8667,88.1167,80.38,41,43,5.28,scattered clouds
266,Lasa,IT,46.6166,10.7002,61.36,76,98,2.75,overcast clouds
267,Borovskoy,KZ,53.8,64.15,68.07,87,100,10.92,overcast clouds
268,Progreso,MX,21.2833,-89.6667,82.51,84,93,12.82,overcast clouds
269,Tezu,IN,27.9167,96.1667,84.9,82,50,2.37,scattered clouds
270,Bezhetsk,RU,57.7851,36.6965,50.99,85,100,4.38,overcast clouds
271,Yaan,NG,7.3833,8.5667,70.34,98,100,5.88,light rain
272,Ucluelet,CA,48.9329,-125.5528,72.95,84,46,5.23,scattered clouds
273,Melito Di Porto Salvo,IT,37.9222,15.7714,79.54,65,0,14.97,clear sky
274,Camana,PE,-16.6228,-72.7111,60.21,87,86,3.06,overcast clouds
275,Vao,NC,-22.6667,167.4833,71.15,80,0,7.07,clear sky
276,Edd,ER,13.9297,41.6925,86.5,63,100,5.41,overcast clouds
277,Yumen,CN,40.2833,97.2,83.03,33,94,8.25,moderate rain
278,Darhan,MN,49.4867,105.9228,69.37,56,100,2.42,overcast clouds
279,Livingstone,ZM,-17.8419,25.8543,51.12,36,2,9.75,clear sky
280,Belmonte,BR,-15.8631,-38.8828,66.7,77,100,10.87,overcast clouds
281,Kapuskasing,CA,49.4169,-82.4331,69.8,56,75,6.91,broken clouds
282,Qiqihar,CN,47.3408,123.9672,83.26,61,100,5.39,overcast clouds
283,Bonito,BR,-21.1211,-56.4819,67.62,45,0,2.33,clear sky
284,Naze,JP,28.3667,129.4833,77.86,90,100,25.97,overcast clouds
285,Twentynine Palms,US,34.1356,-116.0542,95.14,26,96,8.99,overcast clouds
286,Labuhan,ID,-6.8844,112.2051,84.54,59,8,3.89,clear sky
287,Turukhansk,RU,65.8167,87.9833,76.68,55,39,21.56,scattered clouds
288,Aksu,CN,41.1231,80.2644,85.14,37,1,5.68,clear sky
289,Baiao,BR,-2.7906,-49.6717,72.39,81,27,2.13,scattered clouds
290,Log,RU,49.4844,43.8613,67.03,50,0,4.5,clear sky
291,Chitipa,MW,-9.7024,33.2697,52.36,96,1,3.6,clear sky
292,Torbay,CA,47.6666,-52.7314,57.76,99,90,2.3,overcast clouds
293,Port Elizabeth,ZA,-33.918,25.5701,41.29,87,0,2.3,clear sky
294,Filadelfia,US,39.9523,-75.1638,72.75,74,1,0.0,clear sky
295,Itoman,JP,26.1247,127.6694,80.62,94,75,35.68,shower rain
296,Champerico,GT,14.3,-91.9167,82.72,81,58,5.12,broken clouds
297,Leningradskiy,RU,69.3833,178.4167,38.77,83,99,5.37,overcast clouds
298,Sabha,LY,27.0377,14.4283,76.32,39,0,11.01,clear sky
299,Bowen,AU,-20.0167,148.2333,78.53,58,6,10.2,clear sky
300,George,ZA,-33.963,22.4617,40.55,75,0,4.61,clear sky
301,Vila,PT,42.0304,-8.1588,54.32,86,24,2.42,few clouds
302,Beringovskiy,RU,63.05,179.3167,52.68,87,100,7.31,overcast clouds
303,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.99,54,73,1.81,broken clouds
304,Dustlik,UZ,40.5247,68.0358,90.32,16,0,3.31,clear sky
305,Marabba,SD,12.35,32.1833,76.98,81,99,12.24,overcast clouds
306,Ust-Nera,RU,64.5667,143.2,69.69,59,100,2.98,overcast clouds
307,Vanimo,PG,-2.6741,141.3028,77.05,92,100,4.38,heavy intensity rain
308,Ruidoso,US,33.3317,-105.673,64.9,71,1,3.44,clear sky
309,Saldanha,ZA,-33.0117,17.9442,39.25,60,0,9.86,clear sky
310,Erenhot,CN,43.6475,111.9767,81.73,42,100,3.89,overcast clouds
311,Tombouctou,ML,20.0,-3.0,87.22,43,22,10.02,few clouds
312,Talnakh,RU,69.4865,88.3972,66.81,79,100,21.61,light rain
313,Fortuna,US,40.5982,-124.1573,59.94,76,1,1.99,clear sky
314,Celestun,MX,20.8667,-90.4,81.46,79,99,13.62,overcast clouds
315,Lavrentiya,RU,65.5833,-171.0,53.53,69,6,9.28,clear sky
316,Jinxiang,CN,27.4327,120.6062,79.7,83,100,13.76,overcast clouds
317,Partyzany,UA,46.3314,34.7503,63.93,62,0,7.29,clear sky
318,Luderitz,NA,-26.6481,15.1594,62.37,24,13,21.45,few clouds
319,Saskylakh,RU,71.9167,114.0833,56.95,69,96,15.41,overcast clouds
320,Yuci,CN,37.6803,112.7319,80.35,54,20,2.24,few clouds
321,Xining,CN,36.6167,101.7667,78.66,44,3,2.93,clear sky
322,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
323,Tarauaca,BR,-8.1614,-70.7656,70.93,63,13,0.63,few clouds
324,Tocopilla,CL,-22.092,-70.1979,63.1,65,66,5.82,broken clouds
325,Bonavista,CA,48.6499,-53.1147,55.11,98,99,8.75,overcast clouds
326,Nola,IT,40.922,14.5329,76.26,84,1,1.83,clear sky
327,Voineasa,RO,44.2833,24.1333,67.35,77,0,9.22,clear sky
328,Lima,PE,-12.0432,-77.0282,59.25,88,90,9.22,light intensity drizzle
329,Tupiza,BO,-21.45,-65.7167,51.84,24,8,5.59,clear sky
330,Nikolsk,RU,53.7189,46.0712,58.14,78,14,6.06,few clouds
331,Chuy,UY,-33.6971,-53.4616,58.3,91,9,4.97,light rain
332,Camacha,PT,33.0833,-16.3333,68.76,78,40,13.8,scattered clouds
333,Kisangani,CD,0.5167,25.2,70.75,91,60,2.46,broken clouds
334,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,100,90,4.61,overcast clouds
335,Pedernales,DO,18.0384,-71.744,81.72,70,3,6.24,clear sky
336,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.33,64,0,3.44,clear sky
337,Ancud,CL,-41.8697,-73.8203,35.13,81,0,7.61,clear sky
338,Warrington,GB,53.3925,-2.5802,62.28,78,75,1.01,broken clouds
339,Winnipeg,CA,49.8844,-97.147,77.02,39,0,5.99,clear sky
340,Lompoc,US,34.6391,-120.4579,71.56,86,90,10.36,overcast clouds
