City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Annaberg-Buchholz,50.5795,13.0063,55.51,91,100,1.74,DE,2021-07-20 03:30:55
161,Atuona,-9.8,-139.0333,77.38,73,49,28.61,PF,2021-07-20 03:30:55
162,Puerto Leguizamo,-0.1934,-74.7819,70.56,99,97,2.33,CO,2021-07-20 03:30:56
163,Cockburn Town,21.4612,-71.1419,81.72,84,4,21.54,TC,2021-07-20 03:30:56
164,Florianopolis,-27.6146,-48.5012,51.62,75,0,3.44,BR,2021-07-20 03:30:56
165,Kayerkan,69.3497,87.7602,54.39,53,38,8.08,RU,2021-07-20 03:30:57
166,Warri,5.5167,5.75,73.87,93,100,3.69,NG,2021-07-20 03:30:57
167,Karaton,-6.3424,106.1045,86.16,54,73,2.62,ID,2021-07-20 03:30:58
168,Westlock,54.1502,-113.8688,66.22,76,19,6.8,CA,2021-07-20 03:30:58
169,Neuquen,-38.9516,-68.0591,39.09,75,86,0.0,AR,2021-07-20 03:30:59
170,Samarai,-10.6167,150.6667,80.62,70,100,11.9,PG,2021-07-20 03:30:59
171,Naze,28.3667,129.4833,81.52,87,100,32.03,JP,2021-07-20 03:31:00
172,Verkhnyaya Balkariya,43.1279,43.4573,68.92,61,0,5.5,RU,2021-07-20 03:31:00
173,Dingle,10.9995,122.6711,87.42,65,100,13.85,PH,2021-07-20 03:31:00
174,Luganville,-15.5333,167.1667,82.0,75,43,8.08,VU,2021-07-20 03:31:01
175,Nyurba,63.2842,118.3319,70.99,56,100,3.31,RU,2021-07-20 03:31:01
176,Port Macquarie,-31.4333,152.9167,64.89,34,10,6.69,AU,2021-07-20 03:27:58
177,Ballina,-28.8667,153.5667,66.38,36,49,13.8,AU,2021-07-20 03:31:02
178,Little Current,45.9793,-81.9248,73.49,75,0,10.56,CA,2021-07-20 03:30:20
179,Longyearbyen,78.2186,15.6401,42.64,75,75,5.75,SJ,2021-07-20 03:31:03
180,Xixiang,35.1628,112.865,72.59,97,100,16.02,CN,2021-07-20 03:31:04
181,Constitucion,-35.3333,-72.4167,52.97,74,24,5.61,CL,2021-07-20 03:30:56
182,Sakakah,29.9697,40.2064,89.17,13,52,3.56,SA,2021-07-20 03:31:04
183,Zhoucheng,35.9122,116.3117,91.02,64,100,8.61,CN,2021-07-20 03:31:05
184,Leh,34.1667,77.5833,65.34,49,93,5.39,IN,2021-07-20 03:31:05
185,Souillac,-20.5167,57.5167,70.36,73,40,16.11,MU,2021-07-20 03:31:06
186,Kaitangata,-46.2817,169.8464,48.92,70,100,3.2,NZ,2021-07-20 03:31:06
187,Bubaque,11.2833,-15.8333,81.05,81,70,11.21,GW,2021-07-20 03:31:07
188,Noumea,-22.2763,166.4572,75.99,99,77,5.82,NC,2021-07-20 03:30:31
189,Guerrero Negro,27.9769,-114.0611,71.53,77,67,15.26,MX,2021-07-20 03:31:07
190,Narsaq,60.9167,-46.05,44.82,92,94,1.34,GL,2021-07-20 03:31:08
191,Fremont,37.5483,-121.9886,80.47,69,1,3.0,US,2021-07-20 03:29:51
192,Havoysund,70.9963,24.6622,43.68,78,100,26.62,NO,2021-07-20 03:31:08
193,Porto Novo,6.4965,2.6036,78.62,85,67,8.48,BJ,2021-07-20 03:31:09
194,Rocha,-34.4833,-54.3333,38.71,87,1,4.5,UY,2021-07-20 03:31:09
195,Conceicao Do Araguaia,-8.2578,-49.2647,78.93,44,0,0.0,BR,2021-07-20 03:31:09
196,Tiksi,71.6872,128.8694,50.49,85,100,15.86,RU,2021-07-20 03:31:10
197,Vilhena,-12.7406,-60.1458,58.46,66,1,3.47,BR,2021-07-20 03:31:10
198,Ugoofaaru,5.6667,73.0,82.53,75,88,8.19,MV,2021-07-20 03:31:10
199,Mount Isa,-20.7333,139.5,73.17,18,83,11.5,AU,2021-07-20 03:31:11
200,Kpandu,6.9954,0.2931,72.07,89,39,5.84,GH,2021-07-20 03:31:11
201,Yellowknife,62.456,-114.3525,65.28,77,20,8.05,CA,2021-07-20 03:31:12
